Size Bound,Players,Total Time,Propositions,Solver,Encoding Time,Verification,Learned Formula Size,Solving Time,Original Formula,Sample,Sample size,Learned Formula,Formula Type,Model Type
20,2,0,2,msat,0,,,0,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:023.sp,50,,atl,cgs
20,2,3.18,2,msat,3.01,True,5,0.17,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:010-sm:003.sp,20,<>X((<1>X(p) -> q)),atl,cgs
20,2,869.81,2,msat,482.33,True,5,387.48,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:020-sm:018.sp,40,<>G((p -> <1>X(q))),atl,cgs
20,2,18.72,2,msat,16.38,True,4,2.34,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:005-sm:018.sp,10,"<>G((p -> <0,1>X(p)))",atl,cgs
20,2,29.13,2,msat,28.4,True,2,0.73,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:020-sm:018.sp,40,<0>F(p),atl,cgs
20,2,0.31,2,msat,0.29,True,2,0.01,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:010-sm:003.sp,20,<1>X(p),atl,cgs
20,2,77.85,3,msat,74.46,True,3,3.39,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:025-sm:023.sp,26,"(! <0,1>F(p))",atl,cgs
20,2,738.92,2,msat,526.42,True,5,212.5,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:030-sm:013.sp,60,<>G((p -> <1>X(q))),atl,cgs
20,2,558.91,2,msat,229.57,True,6,329.34,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:025-sm:008.sp,50,<>G((<1>G(p) | (p -> q))),atl,cgs
20,2,693.14,2,msat,332.26,True,6,360.89,<>G(((p & (! q)) -> <1>G(p))),test_suite/large_cgs/CGS/f:03-nm:030-sm:008.sp,60,<>G((p -> (q | <1>G(p)))),atl,cgs
20,2,61.77,2,msat,51.93,True,5,9.84,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:015-sm:008.sp,30,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,465.55,2,msat,361.66,True,5,103.89,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:025-sm:013.sp,50,<>G((p -> <1>X(q))),atl,cgs
20,2,107.4,3,msat,103.13,True,3,4.27,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:030-sm:023.sp,31,<>G((! p)),atl,cgs
20,2,28.96,2,msat,27.94,True,2,1.03,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:015-sm:023.sp,30,<1>X(p),atl,cgs
20,2,2.49,3,msat,2.43,True,3,0.06,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:020-sm:003.sp,40,(! <1>F(p)),atl,cgs
20,2,0.14,2,msat,0.13,True,2,0.01,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:005-sm:003.sp,10,<1>X(p),atl,cgs
20,2,81.89,2,msat,63.68,True,4,18.21,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:010-sm:018.sp,20,<>G((p -> <1>X(p))),atl,cgs
20,2,9.83,2,msat,9.16,True,5,0.67,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:015-sm:003.sp,30,<>G((p -> <1>X(q))),atl,cgs
20,2,976.27,2,msat,735.51,True,5,240.76,"<>G((p -> <0,1>F(q)))",test_suite/large_cgs/CGS/f:05-nm:025-sm:018.sp,50,"<>G((p -> <0,1>F(q)))",atl,cgs
20,2,77.94,2,msat,57.42,True,5,20.52,<>G((p -> <1>X(q))),test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,10,(<1>F(q) & (! <>G(<1>F(q)))),atl,cgs
20,2,0.37,2,msat,0.35,True,2,0.02,<0>F(p),test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,10,<0>F(p),atl,cgs
20,2,52.24,2,msat,48.84,True,4,3.4,<>G((p -> <1>G(p))),test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,40,<>G((p -> <1>X(p))),atl,cgs
20,2,89.2,3,msat,64.01,True,5,25.2,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,20,"(! <0,1>F(<1>G(<0,1>X(p))))",atl,cgs
20,2,14.33,2,msat,13.94,True,2,0.39,<1>X(p),test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,40,<1>X(p),atl,cgs
20,2,12.28,3,msat,9.49,True,4,2.79,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),test_suite/large_cgs/CGS/f:07-nm:005-sm:013.sp,10,(! <0>(p U <1>X(p))),atl,cgs
