Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
5,10,309.01,88.56,atl,<>X((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:005-sm:023.sp,msat,cgs,15,<>G((p -> <1>X(q))),397.57,2,2
2,10,0.66,0.02,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:008.sp,msat,cgs,15,<0>F(p),0.68,2,2
4,40,137.71,3.84,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:020-sm:008.sp,msat,cgs,15,<>G((p -> <1>G(p))),141.55,2,2
5,20,235.45,19.19,atl,<>G((p -> <0>(p U r))),True,test_suite/large_cgs/CGS/f:07-nm:010-sm:013.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),254.64,2,3
2,40,50.32,0.43,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:020-sm:013.sp,msat,cgs,15,<1>X(p),50.75,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:05-nm:030-sm:018.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",0,2,2
,30,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:015-sm:018.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
2,20,73.03,0.92,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:010-sm:023.sp,msat,cgs,15,<0>F(p),73.95,2,2
5,20,49.41,11.94,atl,<>G((p -> <1>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:010-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),61.35,2,2
5,40,842.66,142.22,atl,"<>G((p -> <0,1>F(q)))",True,test_suite/large_cgs/CGS/f:05-nm:020-sm:013.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",984.89,2,2
6,10,104.93,116.78,atl,<>G((p -> (<1>G(p) | q))),True,test_suite/large_cgs/CGS/f:03-nm:005-sm:013.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),221.71,2,2
6,20,380.61,176.12,atl,<>G(((p -> <1>G(p)) | q)),True,test_suite/large_cgs/CGS/f:03-nm:010-sm:013.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),556.73,2,2
4,10,7.01,0.52,atl,<1>X(<0>X(<>X(q))),True,test_suite/large_cgs/CGS/f:06-nm:005-sm:008.sp,msat,cgs,15,<>G((p -> <1>X(q))),7.53,2,2
2,10,18.88,0.43,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:005-sm:023.sp,msat,cgs,15,<0>F(p),19.31,2,2
4,40,2366.62,19.29,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:020-sm:023.sp,msat,cgs,15,<>G((p -> <1>G(p))),2385.9,2,2
2,50,215.3,1.11,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:025-sm:018.sp,msat,cgs,15,<1>X(p),216.41,2,2
2,30,0.83,0.02,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:015-sm:003.sp,msat,cgs,15,<0>F(p),0.84,2,2
4,60,31.96,0.29,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:030-sm:003.sp,msat,cgs,15,<>G((p -> <1>G(p))),32.25,2,2
