Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
30,msat,2,2,15,449.11,1458.45,True,cgs,test_suite/large_cgs/CGS/f:03-nm:015-sm:018.sp,1009.34,<>G((p -> (q | <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,13.67,14.28,True,cgs,test_suite/large_cgs/CGS/f:02-nm:010-sm:023.sp,0.61,<0>F(p),2,<0>F(p),atl
20,msat,2,2,15,21.27,29.99,True,cgs,test_suite/large_cgs/CGS/f:06-nm:010-sm:008.sp,8.71,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
40,msat,2,2,15,250.85,364.89,True,cgs,test_suite/large_cgs/CGS/f:05-nm:020-sm:013.sp,114.04,"<>G(<0,1>F((p -> q)))",5,"<>G((p -> <0,1>F(q)))",atl
10,msat,2,2,15,31.98,260.32,True,cgs,test_suite/large_cgs/CGS/f:03-nm:005-sm:013.sp,228.35,<0>F(<0>G(<1>X((<0>X(p) -> p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,109.69,383.25,True,cgs,test_suite/large_cgs/CGS/f:03-nm:010-sm:013.sp,273.56,<>G((q | (p -> <1>G(p)))),6,<>G(((p & (! q)) -> <1>G(p))),atl
10,msat,2,2,15,3.33,3.74,True,cgs,test_suite/large_cgs/CGS/f:06-nm:005-sm:008.sp,0.41,"<0,1>F((q & <>X(q)))",4,<>G((p -> <1>X(q))),atl
10,msat,2,2,15,4.2,4.5,True,cgs,test_suite/large_cgs/CGS/f:02-nm:005-sm:023.sp,0.3,<0>F(p),2,<0>F(p),atl
40,msat,2,2,15,410.23,448.39,True,cgs,test_suite/large_cgs/CGS/f:04-nm:020-sm:023.sp,38.16,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
50,msat,2,2,15,42.92,43.85,True,cgs,test_suite/large_cgs/CGS/f:01-nm:025-sm:018.sp,0.94,<1>X(p),2,<1>X(p),atl
